DATE,NAEXKP01NZQ189S
1987-04-01,26810000000.0
1987-07-01,26768000000.0
1987-10-01,26800000000.0
1988-01-01,26749000000.0
1988-04-01,26786000000.0
1988-07-01,27287000000.0
1988-10-01,27423000000.0
1989-01-01,27746000000.0
1989-04-01,27937000000.0
1989-07-01,26755000000.0
1989-10-01,27428000000.0
1990-01-01,27703000000.0
1990-04-01,27590000000.0
1990-07-01,27594000000.0
1990-10-01,28140000000.0
1991-01-01,27214000000.0
1991-04-01,26945000000.0
1991-07-01,27223000000.0
1991-10-01,27247000000.0
1992-01-01,27379000000.0
1992-04-01,27654000000.0
1992-07-01,27137000000.0
1992-10-01,27405000000.0
1993-01-01,28005000000.0
1993-04-01,28290000000.0
1993-07-01,29063000000.0
1993-10-01,29560000000.0
1994-01-01,30451000000.0
1994-04-01,30530000000.0
1994-07-01,30647000000.0
1994-10-01,30955000000.0
1995-01-01,31373000000.0
1995-04-01,32084000000.000004
1995-07-01,32061000000.0
1995-10-01,32381000000.0
1996-01-01,32627000000.000004
1996-04-01,33057000000.000004
1996-07-01,33390000000.0
1996-10-01,33590000000.000004
1997-01-01,33415999999.999996
1997-04-01,34203000000.000004
1997-07-01,34785000000.0
1997-10-01,34264000000.000004
1998-01-01,34226000000.0
1998-04-01,34045000000.0
1998-07-01,34357000000.0
1998-10-01,35075000000.0
1999-01-01,35394000000.0
1999-04-01,35634000000.0
1999-07-01,36161000000.0
1999-10-01,36665000000.0
2000-01-01,37623000000.0
2000-04-01,37209000000.0
2000-07-01,37337000000.0
2000-10-01,37607000000.0
2001-01-01,37290000000.0
2001-04-01,38455000000.0
2001-07-01,38376000000.0
2001-10-01,38949000000.0
2002-01-01,39423000000.0
2002-04-01,39772000000.0
2002-07-01,40397000000.0
2002-10-01,41308000000.0
2003-01-01,41560000000.0
2003-04-01,41631000000.0
2003-07-01,42223000000.0
2003-10-01,42844000000.0
2004-01-01,43790000000.0
2004-04-01,43910000000.0
2004-07-01,43975000000.0
2004-10-01,44042000000.0
2005-01-01,44137000000.0
2005-04-01,45303000000.0
2005-07-01,45366000000.0
2005-10-01,45423000000.0
2006-01-01,45883000000.0
2006-04-01,45697000000.0
2006-07-01,46552000000.0
2006-10-01,46949000000.0
2007-01-01,47295000000.0
2007-04-01,47913000000.0
2007-07-01,48445000000.0
2007-10-01,48664000000.0
2008-01-01,48415000000.0
2008-04-01,47673000000.0
2008-07-01,47683000000.0
2008-10-01,47674000000.0
2009-01-01,47337000000.0
2009-04-01,47938000000.0
2009-07-01,48247000000.0
2009-10-01,48780000000.0
2010-01-01,49292000000.0
2010-04-01,49576000000.0
2010-07-01,48882000000.0
2010-10-01,48379000000.0
2011-01-01,49208000000.0
2011-04-01,49621000000.0
2011-07-01,50195000000.0
2011-10-01,50655000000.0
2012-01-01,50718000000.0
2012-04-01,51059000000.0
2012-07-01,51312000000.0
2012-10-01,51864000000.0
2013-01-01,52198000000.0
2013-04-01,52066000000.0
2013-07-01,52521000000.0
2013-10-01,52809000000.0
2014-01-01,53373000000.0
2014-04-01,53665000000.0
2014-07-01,54353000000.0
2014-10-01,55078000000.0
2015-01-01,55425000000.0
2015-04-01,55919000000.0
2015-07-01,56827000000.0
2015-10-01,57471000000.0
2016-01-01,58019000000.0
2016-04-01,58625000000.0
2016-07-01,59039000000.0
2016-10-01,59306000000.0
2017-01-01,59947000000.0
2017-04-01,60875000000.0
2017-07-01,61438000000.0
2017-10-01,62168000000.0
2018-01-01,62829000000.0
2018-04-01,63654000000.0
2018-07-01,63935000000.0
2018-10-01,64801000000.0
2019-01-01,65206999999.99999
2019-04-01,65393000000.0
2019-07-01,66037000000.00001
2019-10-01,66214000000.0
2020-01-01,65447000000.0
2020-04-01,59603000000.0
2020-07-01,67840999999.99999
2020-10-01,66983000000.00001
2021-01-01,67927000000.00001
2021-04-01,69756000000.0
